product_id,product,mail_class,fy,revenue,attributable_cost,volume_variable_cost,product_specific_cost,rev_pc,attributable_cost_pc,cont_pc,cost_coverage,volume,weight,weight_pc
132,Priority Mail,Competitive,2009,5362.466262,4123.86401356951,4059.1036111695093,64.7604024,6.7873333945507195,5.219620705538398,1.5677126890123212,1.3003499253018258,790069.671,1634451.697,33.099900061851635
255,Total Ground,Competitive,2009,515.033951,430.21471375916644,430.1077969191665,0.1,2.135,1.784,0.352,1.1972,241186.127,908804.894,4.2462117639080414
256,Competitive International Mail,Competitive,2009,,,,,,,,,321199.6066472376,278820.8740139435,13.888977109248469
254,Total Competitive Mail and Services (Incl International),Summary,2009,8132.7861752109575,6174.755384594315,6093.412452727052,81.34293186726188,5.806238772799358,4.408342154114626,1.3978966186847321,1.3171025682251034,1400697.851647238,2866992.2420139434,32.74930122743974
3,Single Piece Letters,First Class,2010,12339.55516,7376.828271347468,7354.368770347468,22.459501000000003,0.4545304368026521,0.27172721649341186,0.18280322030924023,1.6727453461168929,27147918.293,847776.797,0.49964894566142637
4,Single Piece Cards,First Class,2010,413.21623800000003,398.61375866098217,397.4249316609822,1.188827,0.28755605560445285,0.27739422996783913,0.01016182563661372,1.036633154329821,1436993.692,9183.251,0.10224959011163147
5,Total Single Piece Letters and Cards,First Class,2010,12752.771398,7775.44203000845,7751.79370200845,23.648328000000003,0.4461364584467514,0.27201210324134045,0.17412435520541097,1.6401345864044903,28584911.985000003,856960.0480000001,0.47967126067049176
8,Presort Letters,First Class,2010,15345.136872,5161.838861272204,5157.781783272204,4.057078,0.35444173392893974,0.1192280741131407,0.23521365981579906,2.972804321175184,43293820.685,2048445.808,0.7570395130165907
9,Presort Cards,First Class,2010,630.2087630000001,237.00772742318222,236.73300942318224,0.274718,0.21497347757936794,0.08084682151165899,0.13412665606770896,2.6590220068004333,2931565.187,23923.312,0.13056949703776108
10,Total Presort Letters and Cards,First Class,2010,15975.345635,5398.846588695386,5394.514792695386,4.331796,0.3455968043022159,0.11679397557967423,0.22880282872254165,2.959029372764672,46225385.872,2072369.12,0.7173094457624563
14,Flats,First Class,2010,3117.723579,2147.953273039222,2146.390146039222,1.5631270000000002,1.2551264056073514,0.8647183763055041,0.39040802930184737,1.451485755362179,2483991.704,515683.16500000004,3.3216417859662872
19,Parcels,First Class,2010,1131.180789,1132.4182061525223,1132.4172391525224,0.000967,1.9692270613870622,1.9713812310535443,-0.0021541696664821863,0.9989072790018748,574428.826,190876.23500000002,5.316619956673275
101,Outbound Single Piece Mail International,First Class,2010,689.9091430000001,362.95911898288665,362.3357897626263,0.6233292202603711,2.0630996201308767,1.085390486695769,0.9777091334351076,1.9007902182849663,334404.18304,60529.40725571776,2.8961076601593825
102,Inbound Single Piece Mail International,First Class,2010,204.49609699999993,257.7900115938692,257.1449358141296,0.6450757797396289,0.5909082755630515,0.7449054209005874,-0.15399714533753595,0.7932661771324552,346070.79551415023,79249.60343439382,3.663971856008448
80,Total First Class (Domestic),Summary,2010,34025.47554700001,17075.409228472334,17044.596605472336,30.812623000000002,0.4331740924270402,0.21738490870308977,0.21578918372395042,1.9926594491372038,78549193.36555415,3775667.578690111,0.7690808609313284
21,High Density and Saturation Letters,Marketing Mail,2010,736.917389,348.52752449047904,347.70861149047903,0.818913,0.13576116718585907,0.06420869452603666,0.07155247265982241,2.1143735780332342,5428042.527,238323.2,0.7024947172083938
22,High Density and Saturation Flats and Parcels,Marketing Mail,2010,1848.254859,825.8269911421609,824.1126231421608,1.714368,0.1626491749629728,0.07267400278557942,0.08997517217739337,2.238065452963422,11363444.416,2121947.471,2.987752506466786
23,Carrier Route,Marketing Mail,2010,2222.9715508609784,1559.8279204286189,1558.3986644286188,1.4292559999999999,0.2357769240206345,0.16544135661012907,0.07033556741050542,1.4251389667714993,9428282.942,1991215.832,3.3791363186690413
25,Letters,Marketing Mail,2010,9204.686882801241,5106.086248102746,5098.767906102746,7.318342,0.19056891079619234,0.10571367686069809,0.08485523393549425,1.8026892683650613,48301094.047,2890277.0979999998,0.9574200021846556
26,Flats,Marketing Mail,2010,2579.3634198788363,3161.3270187850458,3160.2607427850457,1.0662759999999998,0.3659071022718151,0.44846414423895714,-0.08255704196714203,0.8159116107102805,7049230.266,1773809.349,4.0261061864992
27,Parcels,Marketing Mail,2010,602.318108,780.1561631621059,780.1160101621059,0.040153,0.8826423500494971,1.1432478288681966,-0.26060547881869955,0.7720481314390981,682403.363,302311.204,7.088152735261359
139,Marketing Mail NSA Domestic,Marketing Mail,2010,58.45296845894463,36.610584,36.610584,0,0.2154951268148552,0.13497009048201128,0.08052503633284391,1.5966139316145471,271249.607,27485.103,1.6212434475527184
81,Total Marketing Mail (Domestic),Summary,2010,17330.408933,11818.362450111157,11805.975142111156,12.387307999999999,0.21000511401547411,0.14321165550143522,0.0667934585140389,1.4663968046467386,82523747.168,9345369.257,1.8119137005206332
31,In County,Periodicals,2010,73.11320500000001,98.49532674504776,98.45430874504777,0.041018,0.10512998130453591,0.1416271090740862,-0.0364971277695503,0.742301258507943,695455.322,203858.225,4.6900663447651345
32,Outside County,Periodicals,2010,1793.301865,2391.342936533208,2390.9551995332076,0.387737,0.27278642743754167,0.3637568828574735,-0.09097045541993182,0.7499141330184103,6574014.264,2574114.051,6.26494302598915
82,Total Periodicals (Domestic),Summary,2010,1878.834624,2489.838263278256,2489.4095082782555,0.428755,0.2584555312836548,0.34250618065358474,-0.08405064936992995,0.754601072571768,7269469.586,2777972.276,6.1142777874193035
41,Single Piece Parcel Post,Package Services,2010,614.9368199999999,748.8685933060485,748.8685933060485,0,10.013897297762854,12.194900254772369,-2.1810029570095146,0.821154506273555,61408.341,405953.789,105.77163489891382
123,Inbound Surface Parcel Post (at UPU Rates),Package Services,2010,17.028995,11.460227628095,11.460227628095,0,15.639589507723366,10.525181067260634,5.114408440462732,1.485921183472224,1088.8389999999997,19142.396582997997,281.2889190486087
42,Bound Printed Matter Flats,Package Services,2010,190.409094,129.35824797227608,129.35824797227608,0,0.8287606587719726,0.5630352235544575,0.2657254352175151,1.471951707639147,229751.608,320168.096,22.29664279868718
43,Bound Printed Matter Parcels,Package Services,2010,321.564284,349.2490705081024,349.2490705081024,0,1.3139255650653534,1.4270467995006186,-0.11312123443526523,0.9207305363251921,244735.541,679753.772,44.44005275065464
44,Media and Library Mail,Package Services,2010,368.766428,458.55136772185097,458.55136772185097,0,3.0147162941120205,3.7487205314644774,-0.7340042373524569,0.8041987309558896,122322.1,284889.343,37.26415331326064
83,Total Package Services (Domestic),Summary,2010,1515.5032190000002,1697.487507136373,1697.487507136373,0,2.298632551329179,2.57465638506063,-0.2760238337314509,0.8927919720343765,659306.429,1709907.3965829979,41.495907125953366
136,International Negotiated Service Agreements,Other,2010,0.625429,0.162,0.162,0,0.5473491030944706,0.14177557276893818,0.40557353032553245,3.8606728395061727,1142.651,286.558,4.012535761137915
85,US Postal Service Mail,Other,2010,,,,,,,,,431206.015,131446.673,4.877359533122468
86,Free Mail,Other,2010,0,66.30327198531165,66.30327198531165,0,0,0.9864478570249007,-0.9864478570249007,,67214.168,31048.164,7.390861759978938
51,Certified Mail,Special Services,2010,752.4292240000001,634.6912415093125,634.6912415093125,0,2.7999999880919035,2.361863962726826,0.4381360253650777,1.1855043441448845,268724.724,,
52,COD,Special Services,2010,6.522005,8.245738439967338,8.245738439967338,0,7.815623565728721,9.881253950011372,-2.0656303842826507,0.790954630380664,834.483,,
54,Insurance,Special Services,2010,125.567053,98.62350974697769,98.62350974697769,0,3.2076438027337315,2.5193638162690877,0.6882799864646438,1.2731959481278547,39146.196,,
55,Registered Mail,Special Services,2010,47.805705,42.56664914108479,42.56664914108479,0,16.11491631693381,14.348872980763778,1.7660433361700338,1.1230788883933676,2966.55,,
58,Other Domestic Ancillary Services,Special Services,2010,807.075588,494.10919366220594,494.10919366220594,0,0.5026954124383626,0.3077610431919165,0.19493436924644608,1.6333952056592396,1605496.227,,
109,Total International Ancillary Services,Special Services,2010,29.387843792267514,27.402398677779438,27.402398677779438,0,10.675498711060547,9.95426115071337,0.721237560347177,1.0724551575880135,2752.831,,
73,Money Orders,Special Services,2010,183.152827,126.33889400350898,123.29966900350897,3.039225,1.4841634385630973,1.023776539078518,0.4603868994845792,1.4496947155079025,123404.756,,
91,Total Special Services (Domestic),Summary,2010,A,B,C,C,D,E,(D-E),(D/E),2043325.767,,
131,Priority Mail Express,Competitive,2010,827.8979840000001,495.55951975645365,489.6629579354244,5.896561821029312,19.45570617699613,11.645710698571854,7.809995478424277,1.6706327918125288,42552.965,39794.417,14.962780431398848
132,Priority Mail,Competitive,2010,5656.639116,4246.634295008302,4128.375673608302,118.25862140000001,6.988072321633155,5.246187173777207,1.7418851478559478,1.3320287839829028,809470.6030000001,1698402.755,33.57063737619141
255,Total Ground,Competitive,2010,568.75617,419.89747067170225,419.89149227170225,,1.9161391582963485,1.4146342993055199,0.5015048589908286,1.354512017160216,296824.042,1058066.844,57.03402389487035
256,Competitive International Mail,Competitive,2010,1490.1602562999997,979.1116269930843,973.4716982830843,5.639928710000001,5.179328784328116,3.403084340302451,1.7762444440256653,1.5219513436648475,289053.7975210389,291348.99731080583,16.127046234822767
3,Single Piece Letters,First Class,2011,11201.600776000001,6848.20922291634,6824.30179291634,23.90743,0.45626170998569965,0.27894010087220844,0.1773216091134912,1.6356978023562414,24550823.641,769643.158,0.5015836009442499
4,Single Piece Cards,First Class,2011,379.16245000000004,336.43465435895035,335.17267535895036,1.2619789999999997,0.29257691730591645,0.2596064405829828,0.03297047672293363,1.127001767170698,1295941.093,8279.536,0.1022211400776995
5,Total Single Piece Letters and Cards,First Class,2011,11580.763226000001,7184.64387727529,7159.47446827529,25.169409,0.44805465384865534,0.2779707228821674,0.17008393096648794,1.6118771401640992,25846764.733999997,777922.694,0.48155980959686484
8,Presort Letters,First Class,2011,14891.08021,4963.358877957883,4957.935035957883,5.423842,0.35675174596377274,0.1189092342922963,0.23784251167147644,3.0002021969700414,41740735.339,2210724.71,0.8474118884760263
9,Presort Cards,First Class,2011,597.3427310000001,220.23133893981597,219.87351193981598,0.35782700000000006,0.21691875346214953,0.07997470302543119,0.13694405043671834,2.712342093889007,2753762.51,22478.61,0.13060594684325194
10,Total Presort Letters and Cards,First Class,2011,15488.422941,5183.590216897699,5177.808547897699,5.781669,0.34809748822343656,0.11649957786891169,0.23159791035452487,2.9879720990502197,44494497.849,2233203.32,0.8030488003541554
14,Flats,First Class,2011,2814.198117,1946.3992057391745,1944.7785187391744,1.620687,1.2614519116100424,0.8724648716108674,0.38898703999917505,1.4458483689789967,2230919.8559999997,455320.50599999994,3.2655265837572967
19,Parcels,First Class,2011,1284.462449,1168.973306646959,1168.367562646959,0.6057440000000001,2.013320178713574,1.8322976654414072,0.18102251327216679,1.0987953631587244,637982.206,208796.413,5.236419725474287
101,Outbound Single Piece Mail International,First Class,2011,647.6636619999999,438.4756057001326,437.9030283349394,0.5725773651931801,2.08698108761506,1.4129097402977888,0.674071347317271,1.4770802607498494,310335.18503999995,54178.258999999984,2.7932770300869003
102,Inbound Single Piece Mail International,First Class,2011,136.3168211481679,172.46269303442173,172.02343216126965,0.4392608731520858,0.572571975354428,0.724395595451357,-0.15182362009692896,0.7904133859313011,238078.05309330125,58133.674112337,3.9068648861677167
80,Total First Class (Domestic),Summary,2011,32097.933429148165,16094.544905293676,16060.355558055333,34.18934723834527,0.4351756005925941,0.21820573778950375,0.21696986280309033,1.9943361939106954,73758577.8831333,3787554.8661123374,0.8216112565756947
21,High Density and Saturation Letters,Marketing Mail,2011,767.934734,349.009793787232,347.855275787232,1.1545179999999997,0.1358244993146955,0.06172930901322652,0.074095190301469,2.200324310864923,5653874.948,237736.151,0.6727737084714878
22,High Density and Saturation Flats and Parcels,Marketing Mail,2011,1880.643586,882.7608880392567,880.4279990392567,2.332889,0.1646139760342836,0.07726864396287426,0.08734533207140933,2.13041109034315,11424568.14,2144022.645,3.002683506249366
23,Carrier Route,Marketing Mail,2011,2222.005488,1647.8273651771758,1645.9144741771756,1.912891,0.23800584141028244,0.17650385683830608,0.061501984571976365,1.3484455562255384,9335928.374,1993085.265,3.4157678767984088
