product_id,fy,volume,revenue,attributable_cost,volume_variable_cost,product_specific_cost,weight
41,2011,70217810.0,732461932.0,821118831.0,821118831.0,,487293861.0
123,2011,1017314.0,18963418.0,10725437.0,10725437.0,,18346461.335242
42,2011,251831376.0,204173748.0,125416932.0,125416932.0,,368727880.0
43,2011,245281592.0,309680652.0,314561644.0,314561644.0,,668230798.0
44,2011,107828747.0,331951003.0,431067651.0,431067651.0,,259637906.0
265,2011,676176839.0,1600270188.0,1702890496.0,1702890496.0,,1802236906.335242
136,2011,133555317.0,80772213.0,77334877.0,77089882.0,244995.0,22250464.341707
85,2011,434596473.0,,,,,149446097.0
86,2011,61853966.0,,51110513.0,51110513.0,,30123155.0
51,2011,251222212.0,708755088.0,599327569.0,599316682.0,10887.0,
52,2011,819400.0,6677514.0,4373217.0,4373181.0,36.0,
54,2011,34573190.0,116651990.0,103411365.0,103409867.0,1498.0,
55,2011,2687960.0,45236486.0,42809327.0,42809211.0,116.0,
58,2011,1698367845.0,771745803.0,579484663.0,579411060.0,73603.0,
109,2011,2547795.0,33123924.0,38810880.0,38810880.0,,
73,2011,115510031.0,172696294.0,123438493.0,120220752.0,3217741.0,
266,2011,2105728433.0,,,,,
131,2011,40491995.0,799500058.0,479432267.0,473645003.0,5787264.0,38658563.0
132,2011,790633182.0,5638962796.0,4469853934.0,4361806811.0,108047123.0,1693627443.0
255,2011,380834000.0,718401893.0,516545208.0,516432434.0,112774.0,1415974000.0
256,2011,276840368.0,1693406604.0,1112440738.0,1106098281.0,6342457.0,289151018.856119
3,2012,22755167380.0,10533810338.0,6276049369.0,6245929076.0,30120293.0,710601305.0
4,2012,1158305368.0,367781344.0,297062981.0,295529774.0,1533207.0,7404114.0
5,2012,23913472748.0,10901591682.0,6573112350.0,6541458850.0,31653500.0,718005419.0
8,2012,39930761374.0,14474536579.0,4949285264.0,4937168155.0,12117109.0,2138305771.0
9,2012,2588140159.0,604601985.0,214785092.0,214003913.0,781179.0,21129479.0
10,2012,42518901533.0,15079138564.0,5164070356.0,5151172069.0,12898288.0,2159435250.0
14,2012,2049176329.0,2668414106.0,1791045242.0,1790535951.0,509291.0,418597382.0
19,2012,293412825.0,648733155.0,659146901.0,658758521.0,388380.0,91242983.0
